"filename", "language", "HTML", "JSON", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Projects\travels-management-client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 4, 9
"c:\Projects\travels-management-client\eslint.config.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Projects\travels-management-client\firebase.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Projects\travels-management-client\index.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Projects\travels-management-client\package-lock.json", "JSON", 0, 8535, 0, 0, 0, 0, 0, 0, 1, 8536
"c:\Projects\travels-management-client\package.json", "JSON", 0, 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Projects\travels-management-client\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Projects\travels-management-client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Projects\travels-management-client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Projects\travels-management-client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Projects\travels-management-client\src\Components\Print\BasicComponent.jsx", "JavaScript JSX", 0, 0, 0, 65, 0, 0, 0, 4, 9, 78
"c:\Projects\travels-management-client\src\Components\Print\ComponentToPrint.jsx", "JavaScript JSX", 0, 0, 0, 137, 0, 0, 0, 3, 7, 147
"c:\Projects\travels-management-client\src\Components\Print\PrintPage.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Projects\travels-management-client\src\Hooks\useAdmin.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 7, 5, 30
"c:\Projects\travels-management-client\src\Hooks\useAirlines.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Projects\travels-management-client\src\Hooks\useAuth.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 1, 4, 15
"c:\Projects\travels-management-client\src\Hooks\useAxiosSecure.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 9, 7, 48
"c:\Projects\travels-management-client\src\Hooks\useAxiosUser.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 2, 3, 16
"c:\Projects\travels-management-client\src\Hooks\useIsActive.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\Projects\travels-management-client\src\Hooks\usePayment.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Projects\travels-management-client\src\Hooks\useSales.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Projects\travels-management-client\src\Hooks\useSuppliers.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Projects\travels-management-client\src\Hooks\useUsers.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Projects\travels-management-client\src\Layout\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 8, 87
"c:\Projects\travels-management-client\src\Layout\InactiveUser.jsx", "JavaScript JSX", 0, 0, 0, 49, 0, 0, 0, 5, 6, 60
"c:\Projects\travels-management-client\src\Layout\InactiveUserStyle.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\Projects\travels-management-client\src\Layout\Main.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Projects\travels-management-client\src\Pages\Airlines\AddAirline.jsx", "JavaScript JSX", 0, 0, 0, 124, 0, 0, 0, 0, 7, 131
"c:\Projects\travels-management-client\src\Pages\Airlines\Airlines.jsx", "JavaScript JSX", 0, 0, 0, 202, 0, 0, 0, 1, 14, 217
"c:\Projects\travels-management-client\src\Pages\Airlines\EditAirline.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 1, 7, 112
"c:\Projects\travels-management-client\src\Pages\Airlines\styles.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 1, 3, 15
"c:\Projects\travels-management-client\src\Pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 69, 0, 0, 0, 1, 15, 85
"c:\Projects\travels-management-client\src\Pages\Home\PaymentCard.jsx", "JavaScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 6, 121
"c:\Projects\travels-management-client\src\Pages\Home\ProfitCard.jsx", "JavaScript JSX", 0, 0, 0, 77, 0, 0, 0, 4, 11, 92
"c:\Projects\travels-management-client\src\Pages\Home\ProfitChart\ProfitChart.jsx", "JavaScript JSX", 0, 0, 0, 83, 0, 0, 0, 2, 11, 96
"c:\Projects\travels-management-client\src\Pages\Home\ProfitChart\style.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Projects\travels-management-client\src\Pages\Home\RecentSales.jsx", "JavaScript JSX", 0, 0, 0, 189, 0, 0, 0, 4, 13, 206
"c:\Projects\travels-management-client\src\Pages\Home\UserCard.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 0, 1, 4, 43
"c:\Projects\travels-management-client\src\Pages\Home\WelcomeCard.jsx", "JavaScript JSX", 0, 0, 0, 75, 0, 0, 0, 10, 4, 89
"c:\Projects\travels-management-client\src\Pages\Ledger\Ledger.jsx", "JavaScript JSX", 0, 0, 0, 283, 0, 0, 0, 7, 23, 313
"c:\Projects\travels-management-client\src\Pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 2, 7, 82
"c:\Projects\travels-management-client\src\Pages\Payment\NewPayment\MakePayment.jsx", "JavaScript JSX", 0, 0, 0, 178, 0, 0, 0, 2, 20, 200
"c:\Projects\travels-management-client\src\Pages\Payment\NewPayment\NewPayment.jsx", "JavaScript JSX", 0, 0, 0, 212, 0, 0, 0, 5, 21, 238
"c:\Projects\travels-management-client\src\Pages\Payment\NewPayment\SearchVendor.jsx", "JavaScript JSX", 0, 0, 0, 161, 0, 0, 0, 4, 11, 176
"c:\Projects\travels-management-client\src\Pages\Payment\NewPayment\styles.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 1, 3, 15
"c:\Projects\travels-management-client\src\Pages\Payment\PaymentList\EditPayment.jsx", "JavaScript JSX", 0, 0, 0, 150, 0, 0, 0, 3, 13, 166
"c:\Projects\travels-management-client\src\Pages\Payment\PaymentList\PaymentList.jsx", "JavaScript JSX", 0, 0, 0, 196, 0, 0, 0, 7, 19, 222
"c:\Projects\travels-management-client\src\Pages\Payment\PaymentList\Receipt.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"c:\Projects\travels-management-client\src\Pages\Payment\RefundList\RefundList.jsx", "JavaScript JSX", 0, 0, 0, 253, 0, 0, 0, 8, 26, 287
"c:\Projects\travels-management-client\src\Pages\Profile\EditProfile.jsx", "JavaScript JSX", 0, 0, 0, 144, 0, 0, 0, 13, 14, 171
"c:\Projects\travels-management-client\src\Pages\Profile\Profile.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 0, 1, 7, 93
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\EditSale.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\EditSales.jsx", "JavaScript JSX", 0, 0, 0, 555, 0, 0, 0, 23, 39, 617
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\EditTest.jsx", "JavaScript JSX", 0, 0, 0, 500, 0, 0, 0, 105, 40, 645
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\ManageSales.jsx", "JavaScript JSX", 0, 0, 0, 559, 0, 0, 0, 58, 53, 670
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\ModalStyles.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\PrintModal.jsx", "JavaScript JSX", 0, 0, 0, 160, 0, 0, 0, 4, 16, 180
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\PrintSale.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 6, 32
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\Printer.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 2, 6, 58
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\RefundSale.jsx", "JavaScript JSX", 0, 0, 0, 175, 0, 0, 0, 18, 27, 220
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\styles.css", "CSS", 0, 0, 0, 0, 34, 0, 0, 3, 7, 44
"c:\Projects\travels-management-client\src\Pages\Sales\NewSale\NewSale.jsx", "JavaScript JSX", 0, 0, 0, 774, 0, 0, 0, 61, 68, 903
"c:\Projects\travels-management-client\src\Pages\Sales\NewSale\hello.jsx", "JavaScript JSX", 0, 0, 0, 551, 0, 0, 0, 11, 35, 597
"c:\Projects\travels-management-client\src\Pages\Sales\ReportList\ReportList.jsx", "JavaScript JSX", 0, 0, 0, 286, 0, 0, 0, 6, 31, 323
"c:\Projects\travels-management-client\src\Pages\Users\AddUser.jsx", "JavaScript JSX", 0, 0, 0, 172, 0, 0, 0, 8, 15, 195
"c:\Projects\travels-management-client\src\Pages\Users\EditUser.jsx", "JavaScript JSX", 0, 0, 0, 149, 0, 0, 0, 11, 11, 171
"c:\Projects\travels-management-client\src\Pages\Users\Users.jsx", "JavaScript JSX", 0, 0, 0, 244, 0, 0, 0, 3, 14, 261
"c:\Projects\travels-management-client\src\Pages\Vendors\AddSupplier.jsx", "JavaScript JSX", 0, 0, 0, 136, 0, 0, 0, 3, 10, 149
"c:\Projects\travels-management-client\src\Pages\Vendors\EditSupplier.jsx", "JavaScript JSX", 0, 0, 0, 131, 0, 0, 0, 1, 8, 140
"c:\Projects\travels-management-client\src\Pages\Vendors\Vendors.jsx", "JavaScript JSX", 0, 0, 0, 205, 0, 0, 0, 1, 14, 220
"c:\Projects\travels-management-client\src\Routes\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 9, 41
"c:\Projects\travels-management-client\src\Routes\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Projects\travels-management-client\src\Routes\Routes.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 0, 2, 2, 89
"c:\Projects\travels-management-client\src\Shared\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 2, 58
"c:\Projects\travels-management-client\src\Shared\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 0, 0, 8, 9, 89
"c:\Projects\travels-management-client\src\Shared\SideMenu\SideMenu.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 1, 8, 73
"c:\Projects\travels-management-client\src\assets\airline.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 0, 11
"c:\Projects\travels-management-client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Projects\travels-management-client\src\firebase\firebase.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 5, 2, 17
"c:\Projects\travels-management-client\src\index.css", "CSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Projects\travels-management-client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Projects\travels-management-client\src\providers\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 0, 0, 2, 17, 103
"c:\Projects\travels-management-client\tailwind.config.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 1, 3, 35
"c:\Projects\travels-management-client\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 14, 8595, 89, 8469, 130, 12, 5, 449, 833, 18596